ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
002594.SZ,2023-07-10 15:00:00,263.55,263.55,263.55,263.55,83197.0,21926569.35,20230710,263.55
002594.SZ,2023-07-10 14:59:00,263.55,263.55,263.55,263.55,0.0,0.0,20230710,263.55
002594.SZ,2023-07-10 14:58:00,263.55,263.55,263.55,263.55,0.0,0.0,20230710,263.55
002594.SZ,2023-07-10 14:57:00,263.51,263.55,263.55,263.5,29600.0,7800350.0,20230710,263.53
002594.SZ,2023-07-10 14:56:00,263.46,263.53,263.53,263.46,24643.0,6493241.5,20230710,263.49
002594.SZ,2023-07-10 14:55:00,263.47,263.49,263.49,263.44,48707.0,12832116.08,20230710,263.47
002594.SZ,2023-07-10 14:54:00,263.5,263.47,263.5,263.45,42500.0,11197786.14,20230710,263.48
002594.SZ,2023-07-10 14:53:00,263.48,263.48,263.5,263.47,18400.0,4848123.0,20230710,263.48
002594.SZ,2023-07-10 14:52:00,263.48,263.48,263.49,263.47,14400.0,3794140.0,20230710,263.49
002594.SZ,2023-07-10 14:51:00,263.53,263.49,263.53,263.47,24000.0,6324071.0,20230710,263.52
002594.SZ,2023-07-10 14:50:00,263.53,263.52,263.54,263.49,28100.0,7404617.0,20230710,263.53
002594.SZ,2023-07-10 14:49:00,263.48,263.53,263.55,263.48,12900.0,3399526.0,20230710,263.52
002594.SZ,2023-07-10 14:48:00,263.51,263.52,263.52,263.46,20000.0,5270027.0,20230710,263.53
002594.SZ,2023-07-10 14:47:00,263.59,263.53,263.59,263.53,23200.0,6114628.0,20230710,263.6
002594.SZ,2023-07-10 14:46:00,263.56,263.6,263.6,263.53,17300.0,4559981.0,20230710,263.53
002594.SZ,2023-07-10 14:45:00,263.51,263.53,263.56,263.51,10600.0,2793332.0,20230710,263.51
002594.SZ,2023-07-10 14:44:00,263.58,263.51,263.58,263.5,13200.0,3478725.0,20230710,263.51
002594.SZ,2023-07-10 14:43:00,263.66,263.51,263.66,263.51,17700.0,4666058.0,20230710,263.62
002594.SZ,2023-07-10 14:42:00,263.62,263.62,263.66,263.61,26100.0,6881065.0,20230710,263.62
002594.SZ,2023-07-10 14:41:00,263.49,263.62,263.62,263.46,9200.0,2424633.0,20230710,263.47
002594.SZ,2023-07-10 14:40:00,263.41,263.47,263.52,263.41,8800.0,2318497.0,20230710,263.45
002594.SZ,2023-07-10 14:39:00,263.32,263.45,263.45,263.32,6600.0,1738284.0,20230710,263.33
002594.SZ,2023-07-10 14:38:00,263.3,263.33,263.38,263.3,7600.0,2001213.0,20230710,263.29
002594.SZ,2023-07-10 14:37:00,263.05,263.29,263.29,263.05,13200.0,3474185.0,20230710,263.02
002594.SZ,2023-07-10 14:36:00,262.96,263.02,263.02,262.96,11400.0,2998174.0,20230710,262.96
002594.SZ,2023-07-10 14:35:00,262.89,262.96,262.96,262.89,9200.0,2418978.0,20230710,262.9
002594.SZ,2023-07-10 14:34:00,262.84,262.9,262.9,262.84,17300.0,4547539.0,20230710,262.84
002594.SZ,2023-07-10 14:33:00,262.98,262.84,262.98,262.8,60200.0,15826434.0,20230710,263.0
002594.SZ,2023-07-10 14:32:00,263.09,263.0,263.09,263.0,34000.0,8942787.0,20230710,263.08
002594.SZ,2023-07-10 14:31:00,263.29,263.08,263.29,263.08,29200.0,7684746.0,20230710,263.29
002594.SZ,2023-07-10 14:30:00,263.32,263.29,263.33,263.25,8300.0,2185318.0,20230710,263.32
002594.SZ,2023-07-10 14:29:00,263.24,263.32,263.32,263.24,9200.0,2422322.0,20230710,263.24
002594.SZ,2023-07-10 14:28:00,263.28,263.24,263.3,263.24,9300.0,2448450.0,20230710,263.28
002594.SZ,2023-07-10 14:27:00,263.35,263.28,263.35,263.28,9900.0,2606865.0,20230710,263.43
002594.SZ,2023-07-10 14:26:00,263.42,263.43,263.43,263.35,26800.0,7059022.0,20230710,263.43
002594.SZ,2023-07-10 14:25:00,263.35,263.43,263.44,263.3,11700.0,3081722.0,20230710,263.35
002594.SZ,2023-07-10 14:24:00,263.22,263.35,263.35,263.15,7200.0,1895490.0,20230710,263.25
002594.SZ,2023-07-10 14:23:00,263.22,263.25,263.25,263.14,8000.0,2105330.0,20230710,263.22
002594.SZ,2023-07-10 14:22:00,263.15,263.22,263.22,263.15,5500.0,1447560.0,20230710,263.2
002594.SZ,2023-07-10 14:21:00,263.19,263.2,263.21,263.15,9500.0,2500282.0,20230710,263.19
002594.SZ,2023-07-10 14:20:00,263.26,263.19,263.26,263.18,12700.0,3342710.0,20230710,263.26
002594.SZ,2023-07-10 14:19:00,263.32,263.26,263.32,263.21,11500.0,3027330.0,20230710,263.32
002594.SZ,2023-07-10 14:18:00,263.31,263.32,263.33,263.29,6200.0,1632546.0,20230710,263.33
002594.SZ,2023-07-10 14:17:00,263.27,263.33,263.33,263.24,8200.0,2158892.0,20230710,263.27
002594.SZ,2023-07-10 14:16:00,263.23,263.27,263.31,263.23,7800.0,2053488.0,20230710,263.23
002594.SZ,2023-07-10 14:15:00,263.2,263.23,263.25,263.2,12800.0,3369127.0,20230710,263.25
002594.SZ,2023-07-10 14:14:00,263.24,263.25,263.29,263.21,8771.0,2308920.04,20230710,263.23
002594.SZ,2023-07-10 14:13:00,263.24,263.23,263.25,263.2,8624.0,2270101.96,20230710,263.24
002594.SZ,2023-07-10 14:12:00,263.25,263.24,263.25,263.23,8471.0,2229871.04,20230710,263.24
002594.SZ,2023-07-10 14:11:00,263.35,263.24,263.35,263.24,10500.0,2764203.0,20230710,263.3
002594.SZ,2023-07-10 14:10:00,263.4,263.3,263.4,263.3,9100.0,2396524.0,20230710,263.41
002594.SZ,2023-07-10 14:09:00,263.43,263.41,263.49,263.41,9500.0,2502523.0,20230710,263.48
002594.SZ,2023-07-10 14:08:00,263.4,263.48,263.48,263.4,12200.0,3213689.0,20230710,263.41
002594.SZ,2023-07-10 14:07:00,263.44,263.41,263.48,263.4,14000.0,3688108.0,20230710,263.45
002594.SZ,2023-07-10 14:06:00,263.43,263.45,263.47,263.43,19700.0,5189627.0,20230710,263.39
002594.SZ,2023-07-10 14:05:00,263.38,263.39,263.4,263.36,6900.0,1817419.0,20230710,263.4
002594.SZ,2023-07-10 14:04:00,263.41,263.4,263.43,263.4,5600.0,1475115.0,20230710,263.42
002594.SZ,2023-07-10 14:03:00,263.42,263.42,263.43,263.4,10300.0,2713220.0,20230710,263.43
002594.SZ,2023-07-10 14:02:00,263.43,263.43,263.43,263.26,16800.0,4425018.0,20230710,263.43
002594.SZ,2023-07-10 14:01:00,263.25,263.43,263.43,263.25,28600.0,7530828.0,20230710,263.26
002594.SZ,2023-07-10 14:00:00,263.01,263.26,263.26,263.01,8500.0,2237278.0,20230710,263.13
002594.SZ,2023-07-10 13:59:00,262.96,263.13,263.13,262.95,12700.0,3340231.0,20230710,262.97
002594.SZ,2023-07-10 13:58:00,262.96,262.97,262.98,262.96,6600.0,1735590.0,20230710,262.99
002594.SZ,2023-07-10 13:57:00,262.97,262.99,262.99,262.95,8400.0,2208891.0,20230710,262.97
002594.SZ,2023-07-10 13:56:00,263.06,262.97,263.06,262.97,17700.0,4655272.0,20230710,263.06
002594.SZ,2023-07-10 13:55:00,263.03,263.06,263.11,263.02,6700.0,1762406.0,20230710,263.03
002594.SZ,2023-07-10 13:54:00,262.98,263.03,263.03,262.98,14000.0,3681993.0,20230710,263.02
002594.SZ,2023-07-10 13:53:00,262.97,263.02,263.02,262.97,10900.0,2866582.0,20230710,263.0
002594.SZ,2023-07-10 13:52:00,262.98,263.0,263.0,262.97,22000.0,5785862.0,20230710,262.98
002594.SZ,2023-07-10 13:51:00,263.03,262.98,263.03,262.96,18600.0,4891687.0,20230710,263.03
002594.SZ,2023-07-10 13:50:00,263.11,263.03,263.19,263.02,15500.0,4077962.0,20230710,263.15
002594.SZ,2023-07-10 13:49:00,263.07,263.15,263.15,263.01,9000.0,2367613.0,20230710,263.1
002594.SZ,2023-07-10 13:48:00,263.16,263.1,263.16,263.02,5300.0,1394406.0,20230710,263.22
002594.SZ,2023-07-10 13:47:00,263.25,263.22,263.25,263.16,8700.0,2289762.0,20230710,263.25
002594.SZ,2023-07-10 13:46:00,263.18,263.25,263.25,263.13,13500.0,3553491.0,20230710,263.19
002594.SZ,2023-07-10 13:45:00,263.0,263.19,263.19,262.99,14500.0,3814536.0,20230710,262.98
002594.SZ,2023-07-10 13:44:00,263.02,262.98,263.02,262.98,7800.0,2051428.0,20230710,263.06
002594.SZ,2023-07-10 13:43:00,262.86,263.06,263.06,262.82,9900.0,2603019.0,20230710,262.86
002594.SZ,2023-07-10 13:42:00,263.07,262.86,263.07,262.86,18300.0,4812144.0,20230710,263.1
002594.SZ,2023-07-10 13:41:00,263.25,263.1,263.25,263.08,16100.0,4237646.0,20230710,263.25
002594.SZ,2023-07-10 13:40:00,263.19,263.25,263.25,263.19,13900.0,3659082.0,20230710,263.19
002594.SZ,2023-07-10 13:39:00,263.15,263.19,263.19,263.12,12200.0,3210413.0,20230710,263.14
002594.SZ,2023-07-10 13:38:00,263.1,263.14,263.14,263.09,4800.0,1262910.0,20230710,263.1
002594.SZ,2023-07-10 13:37:00,263.06,263.1,263.1,263.04,8300.0,2183414.0,20230710,263.05
002594.SZ,2023-07-10 13:36:00,263.06,263.05,263.06,263.0,8900.0,2340995.0,20230710,263.03
002594.SZ,2023-07-10 13:35:00,263.02,263.03,263.03,263.0,14500.0,3813670.0,20230710,263.0
002594.SZ,2023-07-10 13:34:00,262.77,263.0,263.0,262.75,16400.0,4310659.0,20230710,262.76
002594.SZ,2023-07-10 13:33:00,262.78,262.76,262.78,262.76,18100.0,4756083.0,20230710,262.78
002594.SZ,2023-07-10 13:32:00,262.82,262.78,262.82,262.77,14300.0,3757827.0,20230710,262.81
002594.SZ,2023-07-10 13:31:00,262.92,262.81,262.92,262.78,36900.0,9698484.0,20230710,262.91
002594.SZ,2023-07-10 13:30:00,262.87,262.91,262.91,262.83,21400.0,5625574.0,20230710,262.87
002594.SZ,2023-07-10 13:29:00,262.91,262.87,262.91,262.87,10600.0,2786666.0,20230710,262.91
002594.SZ,2023-07-10 13:28:00,262.89,262.91,262.91,262.88,10500.0,2760379.0,20230710,262.89
002594.SZ,2023-07-10 13:27:00,263.0,262.89,263.0,262.86,29200.0,7677622.0,20230710,263.0
002594.SZ,2023-07-10 13:26:00,262.99,263.0,263.08,262.88,12100.0,3181459.0,20230710,262.99
002594.SZ,2023-07-10 13:25:00,263.16,262.99,263.2,262.99,14700.0,3868090.0,20230710,263.07
002594.SZ,2023-07-10 13:24:00,262.82,263.07,263.07,262.82,27600.0,7256541.0,20230710,262.81
002594.SZ,2023-07-10 13:23:00,262.82,262.81,262.85,262.81,8800.0,2312845.0,20230710,262.85
002594.SZ,2023-07-10 13:22:00,262.84,262.85,262.85,262.79,18500.0,4862187.0,20230710,262.9
002594.SZ,2023-07-10 13:21:00,263.04,262.9,263.04,262.75,184600.0,48544727.0,20230710,263.09
002594.SZ,2023-07-10 13:20:00,263.15,263.09,263.24,263.08,15500.0,4077807.0,20230710,263.14
002594.SZ,2023-07-10 13:19:00,263.07,263.14,263.14,263.05,6300.0,1657417.0,20230710,263.07
002594.SZ,2023-07-10 13:18:00,263.3,263.07,263.3,263.07,17200.0,4526861.0,20230710,263.4
002594.SZ,2023-07-10 13:17:00,263.39,263.4,263.4,263.25,10510.0,2767254.0,20230710,263.4
