ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
002594.SZ,2023-07-12 15:00:00,265.61,265.61,265.61,265.61,140405.0,37292972.05,20230712,265.04
002594.SZ,2023-07-12 14:59:00,265.04,265.04,265.04,265.04,0.0,0.0,20230712,265.04
002594.SZ,2023-07-12 14:58:00,265.04,265.04,265.04,265.04,0.0,0.0,20230712,265.04
002594.SZ,2023-07-12 14:57:00,265.05,265.04,265.1,265.04,65997.0,17492546.79,20230712,265.15
002594.SZ,2023-07-12 14:56:00,265.01,265.15,265.18,265.01,42203.0,11185939.15,20230712,265.01
002594.SZ,2023-07-12 14:55:00,264.96,265.01,265.01,264.96,51300.0,13593418.0,20230712,264.96
002594.SZ,2023-07-12 14:54:00,264.9,264.96,265.01,264.9,55400.0,14680072.0,20230712,264.93
002594.SZ,2023-07-12 14:53:00,264.78,264.93,264.93,264.74,39100.0,10355345.0,20230712,264.73
002594.SZ,2023-07-12 14:52:00,264.7,264.73,264.73,264.7,52200.0,13818493.0,20230712,264.71
002594.SZ,2023-07-12 14:51:00,264.9,264.71,264.9,264.66,112900.0,29891572.0,20230712,264.91
002594.SZ,2023-07-12 14:50:00,265.01,264.91,265.05,264.86,75300.0,19952196.0,20230712,265.08
002594.SZ,2023-07-12 14:49:00,265.06,265.08,265.1,265.01,53800.0,14259621.0,20230712,265.15
002594.SZ,2023-07-12 14:48:00,265.1,265.15,265.15,265.07,25800.0,6839890.0,20230712,265.1
002594.SZ,2023-07-12 14:47:00,265.11,265.1,265.11,265.05,31700.0,8403146.0,20230712,265.11
002594.SZ,2023-07-12 14:46:00,265.23,265.11,265.3,265.05,29100.0,7716039.0,20230712,265.19
002594.SZ,2023-07-12 14:45:00,265.0,265.19,265.19,265.0,15500.0,4108765.0,20230712,265.0
002594.SZ,2023-07-12 14:44:00,264.88,265.0,265.0,264.85,58200.0,15416695.0,20230712,264.88
002594.SZ,2023-07-12 14:43:00,264.93,264.88,265.0,264.85,63100.0,16712690.0,20230712,265.0
002594.SZ,2023-07-12 14:42:00,265.22,265.0,265.25,264.95,137600.0,36468648.0,20230712,265.22
002594.SZ,2023-07-12 14:41:00,265.22,265.22,265.26,265.19,19300.0,5118516.0,20230712,265.2
002594.SZ,2023-07-12 14:40:00,265.07,265.2,265.2,265.02,36397.0,9648240.18,20230712,265.03
002594.SZ,2023-07-12 14:39:00,265.17,265.03,265.17,265.0,37400.0,9912951.0,20230712,265.15
002594.SZ,2023-07-12 14:38:00,265.57,265.15,265.57,265.15,99500.0,26408576.0,20230712,265.58
002594.SZ,2023-07-12 14:37:00,265.59,265.58,265.66,265.58,42400.0,11261411.0,20230712,265.58
002594.SZ,2023-07-12 14:36:00,265.68,265.58,265.68,265.58,25100.0,6666918.0,20230712,265.69
002594.SZ,2023-07-12 14:35:00,265.7,265.69,265.72,265.62,12600.0,3347386.0,20230712,265.61
002594.SZ,2023-07-12 14:34:00,265.56,265.61,265.72,265.54,17000.0,4514547.0,20230712,265.56
002594.SZ,2023-07-12 14:33:00,265.88,265.56,265.88,265.56,55900.0,14856095.0,20230712,265.87
002594.SZ,2023-07-12 14:32:00,265.86,265.87,265.87,265.85,16400.0,4360189.0,20230712,265.86
002594.SZ,2023-07-12 14:31:00,265.89,265.86,265.89,265.8,15900.0,4227114.0,20230712,265.89
002594.SZ,2023-07-12 14:30:00,265.79,265.89,265.89,265.79,17300.0,4598634.0,20230712,265.8
002594.SZ,2023-07-12 14:29:00,265.78,265.8,265.8,265.76,12500.0,3322301.0,20230712,265.79
002594.SZ,2023-07-12 14:28:00,265.78,265.79,265.79,265.7,10400.0,2763895.0,20230712,265.78
002594.SZ,2023-07-12 14:27:00,265.73,265.78,265.78,265.6,15700.0,4171458.0,20230712,265.75
002594.SZ,2023-07-12 14:26:00,265.8,265.75,265.8,265.75,16400.0,4358796.0,20230712,265.8
002594.SZ,2023-07-12 14:25:00,265.7,265.8,265.8,265.7,13800.0,3667275.0,20230712,265.7
002594.SZ,2023-07-12 14:24:00,265.59,265.7,265.7,265.58,13800.0,3665363.0,20230712,265.6
002594.SZ,2023-07-12 14:23:00,265.55,265.6,265.6,265.53,11000.0,2921072.0,20230712,265.55
002594.SZ,2023-07-12 14:22:00,265.66,265.55,265.67,265.55,20300.0,5392142.0,20230712,265.68
002594.SZ,2023-07-12 14:21:00,265.76,265.68,265.77,265.67,13300.0,3533985.0,20230712,265.77
