,datetime,action,price,quantity,profit
0,2023-08-31 21:00:00.500001000,OPEN LONG,15850.0,6.309148264984227,
1,2023-08-31 23:59:43.500000000,FORCE CLOSE LONG,15805.0,,-283.9116719242902
2,2023-09-01 21:00:03.500000000,OPEN LONG,15945.0,6.2537527957400885,
3,2023-09-01 23:59:59.000000000,FORCE CLOSE LONG,15975.0,,187.61258387220266
4,2023-09-04 08:59:00.500000000,OPEN LONG,15970.0,6.255710764680521,
5,2023-09-04 23:59:59.500000000,FORCE CLOSE LONG,15940.0,,-187.67132294041565
6,2023-09-05 11:12:29.500000000,OPEN SHORT,15755.0,6.3291672224060616,
7,2023-09-05 20:59:00.500000000,CLOSE SHORT,15900.0,,-917.7292472488789
8,2023-09-07 22:09:59.500000000,OPEN SHORT,15625.0,6.323091221872552,
9,2023-09-07 23:59:59.500000000,FORCE CLOSE SHORT,15635.0,,-63.23091221872552
10,2023-09-08 00:55:16.500000000,OPEN SHORT,15595.0,6.331200348159019,
11,2023-09-08 23:59:55.500000000,FORCE CLOSE SHORT,15615.0,,-126.62400696318038
12,2023-09-12 14:22:43.000000000,OPEN SHORT,15415.0,6.396915045253112,
13,2023-09-12 23:59:38.500000000,FORCE CLOSE SHORT,15385.0,,191.90745135759337
14,2023-09-13 13:54:58.000000000,OPEN SHORT,15290.0,6.461762777889753,
15,2023-09-13 23:59:39.500000000,FORCE CLOSE SHORT,15375.0,,-549.249836120629
16,2023-09-14 14:23:43.500000000,OPEN LONG,15435.0,6.365474767594019,
17,2023-09-14 23:59:41.000000000,FORCE CLOSE LONG,15460.0,,159.13686918985047
18,2023-09-15 21:03:26.500000000,OPEN SHORT,15375.0,6.400666010211612,
19,2023-09-15 23:59:33.500000000,FORCE CLOSE SHORT,15430.0,,-352.0366305616387
20,2023-09-18 09:11:31.500000000,OPEN LONG,15530.0,6.314114827845582,
21,2023-09-18 23:59:53.500000000,FORCE CLOSE LONG,15495.0,,-220.99401897459538
22,2023-09-20 09:25:29.500000000,OPEN LONG,15580.0,6.279666832956823,
23,2023-09-20 21:00:01.500001000,CLOSE LONG,15455.0,,-784.9583541196029
24,2023-09-21 10:51:02.500000000,OPEN SHORT,15260.0,6.359911592617804,
25,2023-09-21 21:00:03.500000000,CLOSE SHORT,15135.0,,794.9889490772255
26,2023-09-26 21:00:00.500004000,OPEN SHORT,14925.0,6.555928968336677,
27,2023-09-26 23:59:59.000000000,FORCE CLOSE SHORT,14970.0,,-295.0168035751505
28,2023-09-28 09:15:01.500000000,OPEN LONG,15000.0,6.503481536589984,
29,2023-09-28 10:12:36.000000000,CLOSE LONG,14880.0,,-780.417784390798
30,2023-10-09 09:05:00.000000000,OPEN SHORT,14700.0,6.583116004384963,
31,2023-10-09 23:59:59.000000000,FORCE CLOSE SHORT,14745.0,,-296.2402201973233
32,2023-10-10 14:55:00.500000000,OPEN SHORT,14580.0,6.616979769839619,
33,2023-10-10 23:59:50.000000000,FORCE CLOSE SHORT,14645.0,,-430.1036850395753
34,2023-10-11 21:07:14.500000000,OPEN LONG,14720.0,6.52482753799063,
35,2023-10-11 23:59:59.000000000,FORCE CLOSE LONG,14730.0,,65.2482753799063
36,2023-10-12 00:00:00.000000000,OPEN LONG,14730.0,6.52482753799063,
37,2023-10-12 21:00:17.000000000,CLOSE LONG,14850.0,,782.9793045588756
38,2023-10-16 09:39:54.500000000,OPEN LONG,14885.0,6.509485316705466,
39,2023-10-16 23:59:52.000000000,FORCE CLOSE LONG,14830.0,,-358.0216924188006
40,2023-10-17 14:50:01.000000000,OPEN SHORT,14725.0,6.55590269926941,
41,2023-10-17 23:59:49.500000000,FORCE CLOSE SHORT,14790.0,,-426.1336754525116
42,2023-10-20 14:45:55.500000000,OPEN SHORT,14535.0,6.6122830114406295,
43,2023-10-20 23:59:58.500000000,FORCE CLOSE SHORT,14580.0,,-297.5527355148283
44,2023-10-24 00:00:00.500000000,OPEN LONG,14570.0,6.575976721741573,
45,2023-10-24 22:14:34.500000000,CLOSE LONG,14690.0,,789.1172066089888
46,2023-10-25 09:01:04.500000000,OPEN LONG,14760.0,6.544789840269899,
47,2023-10-25 21:03:13.000000000,CLOSE LONG,14640.0,,-785.3747808323878
48,2023-10-26 09:57:23.500000000,OPEN SHORT,14530.0,6.594337457780545,
49,2023-10-26 23:59:59.500000000,FORCE CLOSE SHORT,14525.0,,32.97168728890273
50,2023-10-30 09:31:02.000000000,OPEN LONG,14710.0,6.515886808214835,
51,2023-10-30 23:40:45.500000000,CLOSE LONG,14590.0,,-781.9064169857802
52,2023-10-31 10:14:55.000000000,OPEN SHORT,14460.0,6.574466703447748,
53,2023-10-31 23:59:59.500000000,FORCE CLOSE SHORT,14450.0,,65.74466703447749
54,2023-11-01 10:01:22.000000000,OPEN SHORT,14360.0,6.624828217192822,
55,2023-11-01 23:59:29.500000000,FORCE CLOSE SHORT,14340.0,,132.49656434385645
56,2023-11-02 21:11:19.000000000,OPEN LONG,14435.0,6.599586405488935,
57,2023-11-02 23:59:40.500000000,FORCE CLOSE LONG,14425.0,,-65.99586405488935
58,2023-11-03 14:35:56.000000000,OPEN LONG,14485.0,6.572249492521773,
59,2023-11-03 23:59:56.000000000,FORCE CLOSE LONG,14500.0,,98.58374238782659
60,2023-11-06 13:54:00.500000000,OPEN LONG,14580.0,6.536187766911229,
61,2023-11-06 23:59:59.000000000,FORCE CLOSE LONG,14590.0,,65.36187766911229
62,2023-11-07 00:58:23.000000000,OPEN LONG,14600.0,6.531710925974988,
63,2023-11-07 14:32:53.000000000,CLOSE LONG,14480.0,,-783.8053111169985
64,2023-11-08 00:00:00.000000000,OPEN SHORT,14355.0,6.588587544975118,
65,2023-11-08 14:33:13.500000000,CLOSE SHORT,14470.0,,-757.6875676721386
66,2023-11-13 09:08:52.000000000,OPEN SHORT,14175.0,6.618799762994405,
67,2023-11-13 23:59:56.500000000,FORCE CLOSE SHORT,14135.0,,264.7519905197762
68,2023-11-14 09:09:17.500000000,OPEN LONG,14175.0,6.637477152096328,
69,2023-11-14 13:42:18.500000000,CLOSE LONG,14060.0,,-763.3098724910777
70,2023-11-15 13:36:12.000000000,OPEN LONG,14160.0,6.59060231345158,
71,2023-11-15 23:59:59.500000000,FORCE CLOSE LONG,14110.0,,-329.530115672579
72,2023-11-17 09:47:56.500000000,OPEN SHORT,13875.0,6.702226929210941,
73,2023-11-17 23:59:59.500000000,FORCE CLOSE SHORT,13920.0,,-301.60021181449235
74,2023-11-22 13:49:13.000000000,OPEN SHORT,13565.0,6.8331587490591446,
75,2023-11-22 21:01:10.000000000,CLOSE SHORT,13675.0,,-751.647462396506
76,2023-11-23 09:40:43.500000000,OPEN SHORT,13490.0,6.815430019910363,
77,2023-11-23 22:01:52.500000000,CLOSE SHORT,13600.0,,-749.6973021901399
78,2023-11-24 00:00:00.500000000,OPEN LONG,13715.0,6.6489576132993555,
79,2023-11-24 22:41:55.000000000,CLOSE LONG,13605.0,,-731.3853374629291
80,2023-11-28 14:24:03.000000000,OPEN LONG,13810.0,6.550258387323514,
81,2023-11-28 23:59:59.500000000,FORCE CLOSE LONG,13895.0,,556.7719629224987
82,2023-11-29 10:52:14.000000000,OPEN LONG,13965.0,6.5174250119484585,
83,2023-11-29 23:59:56.000000000,FORCE CLOSE LONG,14045.0,,521.3940009558767
